,quote
1348,“It's been my experience that you can nearly always enjoy things if you make up your mind firmly that you will.”
1349,“No woman really wants a man to carry her off; she only wants him to want to do it.”
1350,“Every great love starts with a great story...”
1351,"“But I don't want comfort. I want God, I want poetry, I want real danger, I want freedom, I want goodness. I want sin.”"
1352,“Time is an illusion. Lunchtime doubly so.”
1353,"“Hello babies. Welcome to Earth. It's hot in the summer and cold in the winter. It's round and wet and crowded. On the outside, babies, you've got a hundred years here. There's only one rule that I know of, babies-""God damn it, you've got to be kind.”"
1354,“He thinks he'll be remembered as the villain in the story. But I forgot to tell him that the villain is usually the person who locks up the maiden and throws away the key. He was the one who let me out.”
1355,“There is no mistaking a real book when one meets it. It is like falling in love.”
1356,"“When we are no longer able to change a situation, we are challenged to change ourselves.”"
1357,“The past has no power over the present moment.”
1358,“Every man I meet wants to protect me. I can't figure out what from.”
1359,"“In politics, If you want anything said, ask a man. If you want anything done, ask a woman.”"
1360,“It's a lot easier to be lost than found. It's the reason we're always searching and rarely discovered--so many locks not enough keys.”
1361,“Reading furnishes the mind only with materials of knowledge; it is thinking that makes what we read ours.”
1362,"“Maybe...you'll fall in love with me all over again.""""Hell,"" I said, ""I love you enough now. What do you want to do? Ruin me?""""Yes. I want to ruin you.""""Good,"" I said. ""That's what I want too.”"
1363,"“Why were you lurking under our window?""""Yes - yes, good point, Petunia! What were you doing under our windows, boy?""""Listening to the news,"" said Harry in a resigned voice.His aunt and uncle exchanged looks of outrage.""Listening to the news! Again?""""Well, it changes every day, you see,"" said Harry.”"
1364,“You never know what worse luck your bad luck has saved you from.”
1365,"“Knock, And He'll open the doorVanish, And He'll make you shine like the sunFall, And He'll raise you to the heavensBecome nothing, And He'll turn you into everything.”"
1366,"“You will lose someone you canâ€™t live without,and your heart will be badly broken, and the bad news is that you never completely get over the loss of your beloved. But this is also the good news. They live forever in your broken heart that doesnâ€™t seal back up. And you come through. Itâ€™s like having a broken leg that never heals perfectlyâ€”that still hurts when the weather gets cold, but you learn to dance with the limp.”"
1367,“Don't waste your time with explanations: people only hear what they want to hear.”
1368,“I'm not young enough to know everything.”
1369,“It is forbidden to kill; therefore all murderers are punished unless they kill in large numbers and to the sound of trumpets.”
1370,"“And I thought about how many people have loved those songs. And how many people got through a lot of bad times because of those songs. And how many people enjoyed good times with those songs. And how much those songs really mean. I think it would be great to have written one of those songs. I bet if I wrote one of them, I would be very proud. I hope the people who wrote those songs are happy. I hope they feel it's enough. I really do because they've made me happy. And I'm only one person.”"
1371,"“One can never have enough socks,"" said Dumbledore. ""Another Christmas has come and gone and I didn't get a single pair. People will insist on giving me books.”"
1372,"“I nodded, looking at Rachel with respect. ""You hit the Lord of the Titans in the eye with a blue plastic hairbrush.”"
1373,"“you can, you should, and if youâ€™re brave enough to start, you will.”"
1374,"“I came from a real tough neighborhood. Once a guy pulled a knife on me. I knew he wasn't a professional, the knife had butter on it.”"
